20
-1	8	86	19	81	14	44	41	25	72	86	19	19	25	37	12	59	3	28	28	
8	-1	66	8	89	91	1	60	9	89	8	66	46	83	61	57	72	3	52	60	
86	66	-1	36	64	79	69	59	18	3	6	40	61	0	90	75	47	80	74	46	
19	8	36	-1	25	69	82	58	94	35	46	72	34	4	33	85	21	28	95	79	
81	89	64	25	-1	80	56	9	2	50	93	75	31	23	68	10	49	36	4	40	
14	91	79	69	80	-1	78	24	31	69	60	100	96	94	18	54	56	69	54	41	
44	1	69	82	56	78	-1	22	94	3	16	79	43	78	45	95	60	6	40	72	
41	60	59	58	9	24	22	-1	73	11	21	95	1	91	83	35	46	96	54	7	
25	9	18	94	2	31	94	73	-1	9	23	48	43	91	19	2	76	80	58	74	
72	89	3	35	50	69	3	11	9	-1	88	14	65	31	23	77	88	20	42	87	
86	8	6	46	93	60	16	21	23	88	-1	53	15	50	76	81	31	9	81	20	
19	66	40	72	75	100	79	95	48	14	53	-1	62	66	4	39	89	24	3	20	
19	46	61	34	31	96	43	1	43	65	15	62	-1	67	53	75	13	35	20	31	
25	83	0	4	23	94	78	91	91	31	50	66	67	-1	35	84	18	55	54	4	
37	61	90	33	68	18	45	83	19	23	76	4	53	35	-1	38	18	3	30	19	
12	57	75	85	10	54	95	35	2	77	81	39	75	84	38	-1	84	43	11	72	
59	72	47	21	49	56	60	46	76	88	31	89	13	18	18	84	-1	85	75	38	
3	3	80	28	36	69	6	96	80	20	9	24	35	55	3	43	85	-1	84	44	
28	52	74	95	4	54	40	54	58	42	81	3	20	54	30	11	75	84	-1	0	
28	60	46	79	40	41	72	7	74	87	20	20	31	4	19	72	38	44	0	-1	
